NODE_ID,LINK_ID,LANES,MAX_SPD,CURVATURE,SLOPE
3070019700,3070042800,2,50,0,0
3070020400,3070044600,2,50,0,0
3070019200,3070198200,1,30,,
3070019500,3070042300,2,50,0,0
3070018900,3070198000,1,30,,
3070018900,3070041100,2,50,0,0
3070016805,3070037309,3,60,0,0
3070016800,3070169002,3,50,,
3070017500,3070038003,3,50,0,0
3070018602,3070506600,1,10,,
3070017701,3070186200,3,50,,
3070010300,3070022700,3,90,153.98,0.243
3070021801,3070040506,2,50,0,0
3070019500,3070042800,2,50,0,0
3070016200,3070513800,2,60,,
3070019500,3070042700,2,50,0,0
3070017400,3070037901,3,50,0,0
3070018700,3070041701,3,60,0,0
3070017500,3070036202,2,50,,
3060090100,3060112202,2,70,0,0
3070020200,3070044600,2,50,0,0
3070201800,3070025803,5,60,0,0
3060048200,3060124700,2,90,0,0
3070016801,3070507000,2,50,0,0
3070019700,3070042700,2,50,0,0
3070016200,3070034102,3,60,0,0
3070018700,3070041701,3,60,0,0
3070018300,3070040300,3,60,0,0
3070018900,3070041901,2,50,0,0
3070017400,3070037800,3,50,0,0
3070020400,3070217900,2,50,,
3070021800,3070225600,1,30,,
3070012000,3070240202,3,80,99.308,0.205
3070018600,3070040604,2,50,23.046,-0.26
3070019100,3070041822,3,60,0,0
3070014500,3070031800,3,60,-263.984,-0.075
3070007500,3070016500,3,90,0,0
3070019500,3070197500,1,30,,
3070017400,3070037901,3,50,0,0
3070014801,3070032002,3,60,0,0
3070016801,3070037403,3,60,0,0
3070020400,3070044600,2,50,0,0
3070017500,3070038801,2,50,0,0
3070016801,3070037403,3,60,0,0
3070018601,3070371500,2,50,,
3070016805,3070509000,1,50,,
3070201700,3070086403,5,80,,
3110022500,3110048700,2,80,0,0
3070018602,3070040505,2,50,0,0
3070087101,3070240301,3,80,-95.999,-0.203
3070016809,3070037418,3,60,0,0
3070016200,3070034102,3,60,0,0
-,3070037600,3,50,31.606,-0.074
-,3060112201,2,70,,
